ID_powiatu,year,p3350-stopień-wykorzystania-miejsc-noclegowych
023015717000,2014,24.9
023015717000,2015,26.1
023015717000,2016,28.2
023015717000,2017,28.5
023015717000,2018,27.3
023015717000,2019,29.4
023015717000,2020,16.6
023015718000,2010,19.3
023015718000,2011,18.0
023015718000,2012,18.4
023015718000,2013,19.5
023015718000,2014,17.0
023015718000,2015,19.0
023015718000,2016,19.6
023015718000,2017,20.4
023015718000,2018,19.1
023015718000,2019,31.2
023015718000,2020,19.9
023015720000,2010,16.1
023015720000,2011,17.8
023015720000,2012,14.9
023015720000,2013,14.4
023015720000,2014,14.8
023015720000,2015,15.0
023015720000,2016,17.3
023015720000,2017,16.4
023015720000,2018,17.9
023015720000,2019,18.3
023015720000,2020,15.0
023015761000,2010,23.0
023015761000,2011,26.7
023015761000,2012,26.6
023015761000,2013,24.6
023015761000,2014,23.5
023015761000,2015,23.1
023015761000,2016,27.4
023015761000,2017,23.9
023015761000,2018,25.3
023015761000,2019,24.0
023015761000,2020,21.1
023015803000,2010,28.8
023015803000,2011,28.4
023015803000,2012,28.9
023015803000,2013,27.5
023015803000,2014,27.1
023015803000,2015,30.1
023015803000,2016,29.3
023015803000,2017,27.4
023015803000,2018,31.6
023015803000,2019,31.0
023015803000,2020,18.2
023015809000,2010,15.9
023015809000,2011,13.7
023015809000,2012,17.3
023015809000,2013,15.9
023015809000,2014,13.6
023015809000,2015,16.4
023015809000,2016,11.9
023015809000,2017,10.4
023015809000,2018,9.4
023015809000,2019,13.0
023015809000,2020,9.3
023015810000,2010,21.3
023015810000,2011,20.9
023015810000,2012,20.0
023015810000,2013,19.2
023015810000,2014,20.8
023015810000,2015,20.2
023015810000,2016,22.1
023015810000,2017,20.3
023015810000,2018,21.4
023015810000,2019,26.1
023015810000,2020,16.6
023015823000,2010,12.7
023015823000,2011,10.5
023015823000,2012,10.7
023015823000,2013,10.7
023015823000,2014,12.8
023015823000,2015,14.4
023015823000,2016,19.9
023015823000,2017,21.0
023015823000,2018,25.2
