ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-ogółem
020811361000,2013,12896
020811361000,2014,13218
020811361000,2015,12411
020811361000,2016,13602
020811361000,2017,14649
020811361000,2018,13126
020811361000,2019,12358
020811361000,2020,4540
020811402000,2005,3589
020811402000,2006,2589
020811402000,2007,2368
020811402000,2008,3246
020811402000,2009,2637
020811402000,2010,1735
020811402000,2011,1688
020811402000,2012,1711
020811402000,2013,2238
020811402000,2014,1868
020811402000,2015,1602
020811402000,2016,1868
020811402000,2017,1548
020811402000,2018,1204
020811402000,2019,2225
020811402000,2020,1097
020811404000,2005,2066
020811404000,2006,1830
020811404000,2007,1490
020811404000,2008,1378
020811404000,2009,851
020811404000,2010,877
020811404000,2011,1466
020811404000,2012,1215
020811404000,2013,1436
020811404000,2014,1100
020811404000,2015,1267
020811404000,2016,2741
020811404000,2017,1895
020811404000,2018,865
020811404000,2019,1394
020811404000,2020,551
020811408000,2005,14350
020811408000,2006,17082
020811408000,2007,18326
020811408000,2008,37286
020811408000,2009,38250
020811408000,2010,51982
020811408000,2011,51364
020811408000,2012,48635
020811408000,2013,48144
020811408000,2014,56218
020811408000,2015,42398
020811408000,2016,36489
020811408000,2017,46485
020811408000,2018,45917
020811408000,2019,49704
020811408000,2020,10876
020811409000,2005,9803
020811409000,2006,8706
020811409000,2007,7444
020811409000,2008,6079
020811409000,2009,5816
020811409000,2010,5341
020811409000,2011,6972
020811409000,2012,9275
020811409000,2013,9250
020811409000,2014,5320
020811409000,2015,3751
020811409000,2016,3268
020811409000,2017,3829
020811409000,2018,3500
020811409000,2019,3284
020811409000,2020,1660
020811410000,2005,4413
020811410000,2006,3202
020811410000,2007,3322
020811410000,2008,2584
020811410000,2009,2687
020811410000,2010,1773
020811410000,2011,1810
020811410000,2012,3742
020811410000,2013,4069
020811410000,2014,4970
020811410000,2015,4537
020811410000,2016,7046
020811410000,2017,7924
020811410000,2018,6817
020811410000,2019,7509
020811410000,2020,4301
020811411000,2005,9482
020811411000,2006,11168
020811411000,2007,11570
020811411000,2008,12464
020811411000,2009,9753
020811411000,2010,11907
020811411000,2011,10774
020811411000,2012,11453
020811411000,2013,5890
020811411000,2014,6715
020811411000,2015,4845
020811411000,2016,4701
020811411000,2017,4751
020811411000,2018,7940
020811411000,2019,7949
020811411000,2020,3571
020811412000,2005,903
020811412000,2006,740
020811412000,2007,906
020811412000,2008,1775
020811412000,2009,842
020811412000,2010,599
020811412000,2011,481
020811412000,2012,791
020811412000,2013,1663
020811412000,2014,767
020811412000,2015,985
020811412000,2016,764
020811412000,2017,848
020811412000,2018,838
020811412000,2019,778
020811412000,2020,332
020811462000,2005,12453
020811462000,2006,12172
020811462000,2007,14408
020811462000,2008,12446
020811462000,2009,8943
020811462000,2010,7154
020811462000,2011,10082
020811462000,2012,10973
020811462000,2013,8209
020811462000,2014,11696
020811462000,2015,11177
020811462000,2016,12475
020811462000,2017,12978
020811462000,2018,13982
020811462000,2019,15087
020811462000,2020,5271
023015706000,2005,848
023015706000,2006,727
023015706000,2007,781
023015706000,2008,1171
023015706000,2009,1327
023015706000,2010,1092
023015706000,2011,1473
023015706000,2012,1705
023015706000,2013,1328
023015706000,2014,1298
023015706000,2015,1312
023015706000,2016,1224
023015706000,2017,1991
023015706000,2018,2147
023015706000,2019,2757
023015706000,2020,2015
023015707000,2005,486
023015707000,2006,604
023015707000,2007,288
023015707000,2008,167
023015707000,2009,496
023015707000,2010,210
023015707000,2011,314
023015707000,2012,130
023015707000,2013,313
023015707000,2014,658
023015707000,2015,819
023015707000,2016,1044
023015707000,2017,879
023015707000,2018,971
023015707000,2019,1067
023015707000,2020,354
023015708000,2005,520
023015708000,2006,441
023015708000,2007,498
023015708000,2008,792
023015708000,2009,1200
023015708000,2010,679
023015708000,2011,608
023015708000,2012,285
023015708000,2013,269
023015708000,2014,196
023015708000,2015,161
023015708000,2016,4355
023015708000,2017,4000
023015708000,2018,3501
023015708000,2019,2236
023015708000,2020,802
023015712000,2005,1275
023015712000,2006,1376
023015712000,2007,1748
023015712000,2008,2210
023015712000,2009,2130
023015712000,2010,2092
023015712000,2011,3233
023015712000,2012,2273
023015712000,2013,1941
023015712000,2014,2082
023015712000,2015,2356
023015712000,2016,2244
023015712000,2017,2935
023015712000,2018,2804
023015712000,2019,2620
023015712000,2020,1104
023015717000,2005,7022
023015717000,2006,6916
023015717000,2007,6774
023015717000,2008,6588
023015717000,2009,5876
023015717000,2010,4019
023015717000,2011,5033
