ID_powiatu,year,p2013-hotele-4-i-5-gwiazdkowemotelepensjonaty-w-ogólnej-liczbie-hotelimotelipensjonatów-ogółem
012415110000,2019,0.0
012415110000,2020,0.0
012415114000,2002,0.0
012415114000,2003,0.0
012415114000,2004,0.0
012415114000,2005,0.0
012415114000,2006,0.0
012415114000,2007,0.0
012415114000,2008,0.0
012415114000,2009,0.0
012415114000,2010,0.0
012415114000,2011,0.0
012415114000,2012,0.0
012415114000,2013,0.0
012415114000,2014,0.0
012415114000,2015,0.0
012415114000,2016,0.0
012415114000,2017,0.0
012415114000,2018,0.0
012415114000,2019,0.0
012415114000,2020,0.0
012415177000,2002,0.0
012415177000,2003,0.0
012415177000,2004,16.67
012415177000,2005,16.67
012415177000,2006,16.67
012415177000,2007,16.67
012415177000,2008,14.29
012415177000,2009,12.5
012415177000,2010,12.5
012415177000,2011,12.5
012415177000,2012,12.5
012415177000,2013,25.0
012415177000,2014,11.11
012415177000,2015,12.5
012415177000,2016,12.5
012415177000,2017,12.5
012415177000,2018,12.5
012415177000,2019,12.5
012415177000,2020,14.29
020811301000,2002,0.0
020811301000,2003,0.0
020811301000,2004,0.0
020811301000,2005,0.0
020811301000,2006,0.0
020811301000,2007,0.0
020811301000,2008,0.0
020811301000,2009,0.0
020811301000,2010,0.0
020811301000,2011,0.0
020811301000,2012,0.0
020811301000,2013,0.0
020811301000,2014,0.0
020811301000,2015,0.0
020811301000,2016,0.0
020811301000,2017,0.0
020811301000,2018,0.0
020811301000,2019,0.0
020811301000,2020,0.0
020811303000,2002,0.0
020811303000,2003,0.0
020811303000,2004,0.0
020811303000,2005,0.0
020811303000,2006,0.0
020811303000,2007,0.0
020811303000,2008,0.0
020811303000,2009,0.0
020811303000,2010,0.0
