ID_powiatu,year,p2596-parki-spacerowo-wypoczynkowe-obiekty
051011710000,2015,2
051011710000,2016,5
051011710000,2017,5
051011710000,2018,5
051011710000,2019,5
051011710000,2020,5
051011712000,2004,2
051011712000,2005,2
051011712000,2006,2
051011712000,2007,2
051011712000,2008,2
051011712000,2009,2
051011712000,2010,2
051011712000,2011,2
051011712000,2012,2
051011712000,2013,2
051011712000,2014,3
051011712000,2015,3
051011712000,2016,3
051011712000,2017,3
051011712000,2018,3
051011712000,2019,3
051011712000,2020,3
051011716000,2004,4
051011716000,2005,4
051011716000,2006,4
051011716000,2007,4
051011716000,2008,5
051011716000,2009,5
051011716000,2010,5
051011716000,2011,6
051011716000,2012,6
051011716000,2013,6
051011716000,2014,7
051011716000,2015,7
051011716000,2016,9
051011716000,2017,9
051011716000,2018,9
051011716000,2019,9
051011716000,2020,8
051011762000,2004,3
051011762000,2005,3
051011762000,2006,3
051011762000,2007,4
051011762000,2008,4
051011762000,2009,4
051011762000,2010,4
051011762000,2011,4
051011762000,2012,4
051011762000,2013,4
051011762000,2014,4
051011762000,2015,4
051011762000,2016,4
051011762000,2017,4
051011762000,2018,4
051011762000,2019,4
051011762000,2020,4
051011803000,2004,3
051011803000,2005,3
051011803000,2006,3
051011803000,2007,3
051011803000,2008,4
051011803000,2009,4
051011803000,2010,4
051011803000,2011,4
051011803000,2012,4
051011803000,2013,2
051011803000,2014,2
051011803000,2015,2
051011803000,2016,2
051011803000,2017,2
051011803000,2018,2
051011803000,2019,2
051011803000,2020,2
051011809000,2004,2
051011809000,2005,2
051011809000,2006,2
051011809000,2007,2
051011809000,2008,2
051011809000,2009,2
051011809000,2010,2
051011809000,2011,2
051011809000,2012,2
051011809000,2013,2
051011809000,2014,2
051011809000,2015,2
051011809000,2016,2
051011809000,2017,2
051011809000,2018,2
051011809000,2019,2
051011809000,2020,2
051011811000,2004,6
051011811000,2005,7
051011811000,2006,7
051011811000,2007,7
051011811000,2008,7
051011811000,2009,7
051011811000,2010,7
051011811000,2011,7
051011811000,2012,7
051011811000,2013,7
051011811000,2014,8
051011811000,2015,8
051011811000,2016,8
051011811000,2017,8
051011811000,2018,8
051011811000,2019,8
051011811000,2020,8
051011814000,2004,22
051011814000,2005,22
051011814000,2006,23
051011814000,2007,23
051011814000,2008,23
051011814000,2009,23
051011814000,2010,23
051011814000,2011,23
051011814000,2012,23
051011814000,2013,23
051011814000,2014,23
051011814000,2015,23
