ID_powiatu,year,p2497-przeciętne-miesięczne-wynagrodzenia-brutto-w-relacji-do-średniej-krajowej-polska100
012415016000,2004,85.7
012415016000,2005,84.2
012415016000,2006,86.6
012415016000,2007,87.0
012415016000,2008,86.5
012415016000,2009,87.1
012415016000,2010,87.3
012415016000,2011,88.5
012415016000,2012,86.7
012415016000,2013,85.1
012415016000,2014,87.6
012415016000,2015,88.7
012415016000,2016,89.5
012415016000,2017,88.9
012415016000,2018,90.4
012415016000,2019,89.4
012415016000,2020,90.6
012415065000,2002,104.9
012415065000,2003,103.0
012415065000,2004,104.6
012415065000,2005,105.4
012415065000,2006,107.2
012415065000,2007,107.8
012415065000,2008,107.2
012415065000,2009,110.1
012415065000,2010,110.4
012415065000,2011,112.0
012415065000,2012,113.6
012415065000,2013,111.5
012415065000,2014,111.0
012415065000,2015,111.1
012415065000,2016,111.9
012415065000,2017,112.6
012415065000,2018,112.8
012415065000,2019,108.7
012415065000,2020,105.2
012415068000,2002,105.9
012415068000,2003,105.9
012415068000,2004,105.4
012415068000,2005,109.9
012415068000,2006,115.1
012415068000,2007,112.7
012415068000,2008,114.2
012415068000,2009,118.2
012415068000,2010,117.8
012415068000,2011,120.5
012415068000,2012,112.9
012415068000,2013,121.3
012415068000,2014,117.7
012415068000,2015,128.5
012415068000,2016,123.9
012415068000,2017,118.6
012415068000,2018,121.0
012415068000,2019,112.5
012415068000,2020,108.2
012415075000,2002,89.7
012415075000,2003,90.1
012415075000,2004,88.5
012415075000,2005,87.6
012415075000,2006,88.5
012415075000,2007,88.1
012415075000,2008,91.2
012415075000,2009,90.1
012415075000,2010,90.6
012415075000,2011,89.3
012415075000,2012,90.1
012415075000,2013,89.8
012415075000,2014,90.5
012415075000,2015,89.3
012415075000,2016,87.9
012415075000,2017,91.4
012415075000,2018,90.7
012415075000,2019,91.8
012415075000,2020,90.7
012415108000,2002,96.4
012415108000,2003,97.6
012415108000,2004,97.3
012415108000,2005,94.7
012415108000,2006,92.8
012415108000,2007,92.7
012415108000,2008,84.1
012415108000,2009,82.2
012415108000,2010,84.3
012415108000,2011,85.8
012415108000,2012,85.4
012415108000,2013,86.0
012415108000,2014,85.7
012415108000,2015,88.1
012415108000,2016,87.5
012415108000,2017,86.1
012415108000,2018,86.5
012415108000,2019,89.0
012415108000,2020,90.6
012415110000,2002,82.5
012415110000,2003,81.5
012415110000,2004,81.5
012415110000,2005,80.9
012415110000,2006,82.8
012415110000,2007,83.4
012415110000,2008,84.1
012415110000,2009,82.0
012415110000,2010,82.0
012415110000,2011,79.8
012415110000,2012,81.6
012415110000,2013,81.2
012415110000,2014,81.3
012415110000,2015,81.2
012415110000,2016,80.8
012415110000,2017,79.3
012415110000,2018,83.4
012415110000,2019,85.4
012415110000,2020,84.6
012415114000,2002,85.2
012415114000,2003,85.1
012415114000,2004,85.6
012415114000,2005,84.6
012415114000,2006,83.3
012415114000,2007,84.7
012415114000,2008,85.1
012415114000,2009,86.4
012415114000,2010,89.3
012415114000,2011,90.1
012415114000,2012,90.1
012415114000,2013,89.3
012415114000,2014,90.5
012415114000,2015,88.1
012415114000,2016,88.4
012415114000,2017,88.1
012415114000,2018,89.2
012415114000,2019,87.7
012415114000,2020,84.2
012415177000,2002,129.2
012415177000,2003,98.9
012415177000,2004,94.0
012415177000,2005,92.3
012415177000,2006,94.8
012415177000,2007,96.5
012415177000,2008,97.3
012415177000,2009,94.3
012415177000,2010,95.8
012415177000,2011,95.0
012415177000,2012,95.0
012415177000,2013,95.2
012415177000,2014,95.4
012415177000,2015,96.6
012415177000,2016,96.5
012415177000,2017,98.0
012415177000,2018,95.8
012415177000,2019,94.9
012415177000,2020,95.4
020811301000,2002,93.7
020811301000,2003,90.6
020811301000,2004,92.2
020811301000,2005,88.4
020811301000,2006,88.8
020811301000,2007,92.5
020811301000,2008,88.8
020811301000,2009,88.1
020811301000,2010,89.4
020811301000,2011,90.4
020811301000,2012,91.0
020811301000,2013,90.9
020811301000,2014,89.8
020811301000,2015,92.0
020811301000,2016,90.5
020811301000,2017,90.3
020811301000,2018,93.0
020811301000,2019,91.3
020811301000,2020,90.8
020811303000,2002,79.9
020811303000,2003,79.6
020811303000,2004,79.9
020811303000,2005,80.9
020811303000,2006,78.6
020811303000,2007,79.8
020811303000,2008,79.8
020811303000,2009,79.8
020811303000,2010,82.1
020811303000,2011,82.4
020811303000,2012,83.2
020811303000,2013,82.9
020811303000,2014,83.5
020811303000,2015,83.5
020811303000,2016,83.5
