ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje
020811361000,2019,917
020811361000,2020,348
020811402000,2005,67
020811402000,2006,62
020811402000,2007,45
020811402000,2008,57
020811402000,2009,106
020811402000,2010,33
020811402000,2011,38
020811402000,2012,27
020811402000,2013,45
020811402000,2014,77
020811402000,2015,69
020811402000,2016,42
020811402000,2017,15
020811402000,2018,25
020811402000,2019,17
020811402000,2020,6
020811404000,2005,97
020811404000,2006,54
020811404000,2007,85
020811404000,2008,86
020811404000,2009,49
020811404000,2010,61
020811404000,2011,56
020811404000,2012,74
020811404000,2013,67
020811404000,2014,40
020811404000,2015,164
020811404000,2016,49
020811404000,2017,11
020811404000,2018,55
020811404000,2019,95
020811404000,2020,15
020811408000,2005,132
020811408000,2006,187
020811408000,2007,217
020811408000,2008,281
020811408000,2009,298
020811408000,2010,391
020811408000,2011,319
020811408000,2012,234
020811408000,2013,196
020811408000,2014,250
020811408000,2015,305
020811408000,2016,391
020811408000,2017,378
020811408000,2018,305
020811408000,2019,338
020811408000,2020,173
020811409000,2005,170
020811409000,2006,59
020811409000,2007,121
020811409000,2008,42
020811409000,2009,99
020811409000,2010,125
020811409000,2011,64
020811409000,2012,69
020811409000,2013,63
020811409000,2014,21
020811409000,2015,19
020811409000,2016,52
020811409000,2017,40
020811409000,2018,34
020811409000,2019,186
020811409000,2020,74
020811410000,2005,74
020811410000,2006,40
020811410000,2007,55
020811410000,2008,68
020811410000,2009,47
020811410000,2010,49
020811410000,2011,24
020811410000,2012,120
020811410000,2013,103
020811410000,2014,175
020811410000,2015,88
020811410000,2016,26
020811410000,2017,53
020811410000,2018,17
020811410000,2019,25
020811410000,2020,4
020811411000,2005,339
020811411000,2006,304
020811411000,2007,252
020811411000,2008,184
020811411000,2009,269
020811411000,2010,287
020811411000,2011,220
020811411000,2012,267
020811411000,2013,229
020811411000,2014,350
020811411000,2015,192
020811411000,2016,261
020811411000,2017,219
020811411000,2018,273
020811411000,2019,220
020811411000,2020,133
020811412000,2005,6
020811412000,2006,10
020811412000,2007,27
020811412000,2008,55
020811412000,2009,86
020811412000,2010,49
020811412000,2011,26
020811412000,2012,50
020811412000,2013,52
020811412000,2014,15
020811412000,2015,41
020811412000,2016,53
020811412000,2017,15
020811412000,2018,76
020811412000,2019,60
020811412000,2020,8
020811462000,2005,553
020811462000,2006,643
020811462000,2007,957
020811462000,2008,645
020811462000,2009,576
020811462000,2010,442
020811462000,2011,604
020811462000,2012,654
020811462000,2013,478
020811462000,2014,591
020811462000,2015,661
020811462000,2016,534
020811462000,2017,690
020811462000,2018,610
020811462000,2019,709
020811462000,2020,192
023015706000,2005,18
023015706000,2006,35
023015706000,2007,29
023015706000,2008,77
023015706000,2009,176
023015706000,2010,243
023015706000,2011,379
023015706000,2012,318
023015706000,2013,156
023015706000,2014,172
023015706000,2015,132
023015706000,2016,85
023015706000,2017,108
023015706000,2018,117
023015706000,2019,104
023015706000,2020,89
023015707000,2005,28
023015707000,2006,20
023015707000,2007,18
023015707000,2008,26
023015707000,2009,3
023015707000,2010,14
023015707000,2011,24
023015707000,2012,19
023015707000,2013,36
023015707000,2014,37
023015707000,2015,71
023015707000,2016,56
023015707000,2017,47
023015707000,2018,65
023015707000,2019,128
023015707000,2020,32
023015708000,2005,8
023015708000,2006,33
023015708000,2007,4
023015708000,2008,49
023015708000,2009,35
023015708000,2010,26
023015708000,2011,39
023015708000,2012,8
023015708000,2013,10
023015708000,2014,3
023015708000,2015,8
023015708000,2016,958
023015708000,2017,184
023015708000,2018,9
023015708000,2019,104
023015708000,2020,23
023015712000,2005,67
023015712000,2006,58
023015712000,2007,63
023015712000,2008,160
023015712000,2009,167
023015712000,2010,92
023015712000,2011,91
023015712000,2012,138
023015712000,2013,117
023015712000,2014,90
023015712000,2015,252
023015712000,2016,195
023015712000,2017,511
023015712000,2018,463
